batch,status,reviewer,verified_by,manifest_sha256,membership_sha256
BATCH-001,verified,codex-root,codex-kierkegaard,b1e2bdc075a224071d7fa28fb5c206c4a19b32946dbbe986c7dc5419237f787b,cc1f0023a579651a183847af0353504019e283bebd46905531d9b42cd9b1f6ec
BATCH-002,pending,,,8931af2c9251e53deee02780b228f837f624cba006b974bd3a4bc098d8ad4e96,ce98934732ef4b54800f123a503dd73c276cebb3bec717af787fa4b4bbb7b73e
BATCH-003,pending,,,5916b8c492dca7b7c7964a0ee9763177490b7d26074519408d44a4f531c6131d,c5aee2091247e35bd1aa2799b874f6e2f50b6a0fed5ac6e8ed5809a287cc23d4
BATCH-004,pending,,,0a0ed496ef5429c982ce4e899294ed8ecf145e46c1b2bb55501ad33d9e0b09ed,560f8f15884aa886a5a697b6f35bb941db33d80f768afa205eb9ac93cdebeb38
BATCH-005,pending,,,e893f43a4163195c77240ddd3f9e8ed2cd8f6744d8d01f743205edb6e38ceebe,54927c17e08818c20d054f360c87ecc7dfe7e2b367f998c18f5a88e6bf0e46a6
BATCH-006,verified,codex-root,codex-hypatia,92c315e1dab124fc5a2f3c1b683316bbebfd84cde06ec1d973dabee2153d0bfe,3de1d08ae2a9ed5276fc90de0e380f68ec1ca1cf1476d2b5e12ed8ccae9c24ab
BATCH-007,verified,codex-kierkegaard,codex-galileo,c650772412f11e4c5498a9d8afdb99e2510f42c7ebddcaa8c031a5a22951578d,6799afc1e8b7c6720bb0d10efd3a5c9b92f8f9465b09f1deac60411c54528afa
BATCH-008,verified,codex-kierkegaard,codex-galileo,54889ad5a0e867574fabd04ae2640803c7144e64b80bd3af92a101dddda5a841,b444749ae0a996e722a2ba645d2ce880a40ee51e74872ce77287522421f30a19
BATCH-009,verified,codex-galileo,codex-kierkegaard,13ea3747c4e97b146ad24cf37fe5a106c6ad63e40e69fc71f0062718e394f172,3d39d4b5aba5d173a601df8be6619cc8a21b9acd1b9397f0ff9c6a990b046994
BATCH-010,verified,codex-root,codex-hypatia,90c781e566c5e3d99a326d4d381ec334a9b0c91ba86e093f69eea0f9bd57bba7,233fb83ac49454091027482c57e4bc94e5f265beb6ae6262d5d6dbbeefbc8bdc
BATCH-011,verified,codex-galileo,codex-kierkegaard,4776925a7e848642810cb5c520137df968ee980f5fef88f6fbc84d62552aea46,cffd412e60a5983f2e6b0313b8e841ffecd512a3541ddca4af8f455d177eafca
BATCH-012,verified,codex-hypatia,codex-root,7c0c18a6066a5a08de5aa84568a5076681060290b07a66e968ebe0e7b3f0548f,784983ae1f98f9a76010a116e3a8d867d059caebf2eb3f7bf8ff34712441a89c
